date,open,high,low,close,gdelt_sentiment
2014-08-21,1.3257,1.3288,1.3241,1.3282,-0.7775706350803375
2014-08-22,1.3282,1.3296,1.3223,1.3245,0.009010082110762596
2014-08-25,1.3191,1.3209,1.3183,1.3189,-0.2160774334333837
2014-08-26,1.319,1.3213,1.3164,1.3168,-0.17093465197831392
2014-08-27,1.3167,1.3209,1.3153,1.3194,-0.2865925890703996
2014-08-28,1.3193,1.3217,1.3161,1.3183,-0.3889299802482128
2014-08-29,1.3182,1.3195,1.3131,1.3133,-0.17736129462718964
2014-09-01,1.3129,1.3145,1.3118,1.3128,-0.4120423458516598
2014-09-02,1.3128,1.3135,1.311,1.3132,-0.47767068399116397
2014-09-03,1.3132,1.3159,1.3122,1.3148,-0.12943053183456263
2014-09-04,1.3149,1.3153,1.2925,1.2936,-0.5690461123983065
2014-09-05,1.2937,1.2983,1.2922,1.2951,0.08768428365389506
2014-09-08,1.2953,1.2959,1.2886,1.2897,-0.40680923983454703
2014-09-09,1.2898,1.2957,1.2859,1.294,-0.5063787028193474
2014-09-10,1.2939,1.2962,1.2889,1.2916,0.010779686272144318
2014-09-11,1.2916,1.295,1.2898,1.2924,-0.05062515661120415
2014-09-12,1.2923,1.2977,1.2911,1.2961,0.04696516022086143
2014-09-15,1.2968,1.2969,1.2909,1.2939,0.18772900104522705
2014-09-16,1.2939,1.2994,1.2923,1.2957,-0.46642329668005306
2014-09-17,1.2957,1.298,1.2838,1.2844,-0.18562675639986992
2014-09-18,1.2848,1.2928,1.2834,1.2915,-0.22851423919200897
2014-09-19,1.2916,1.2928,1.2828,1.2829,-0.10014181211590767
2014-09-22,1.2826,1.2866,1.2818,1.2846,-0.11493691802024841
